-1.7254,0.38334,1.2154,0.18507,0.44773,-0.24444,0.64848,1.3219,2.0829,5.1624,4.1755,4.9738,4.0815,3.5882,5.025,2.7557,10
-0.75611,-0.4774,-0.94949,-0.69603,-0.85391,0.1784,-0.65182,0.086309,5.8843,2.318,1.9502,3.7049,0.53654,4.7018,1.1581,5.2095,10
0.36411,-0.68042,0.68485,1.4572,-1.6929,-0.48053,0.67438,-1.0191,2.8155,4.2961,4.1211,5.2551,6.2014,4.6862,4.9732,5.4513,1
-1.6012,0.57355,0.3201,-0.83793,0.41889,-1.2104,-1.0572,0.81409,0.92658,5.2838,0.58258,4.3514,3.1764,1.6104,4.2257,4.5293,1
1.1503,-0.60859,-0.54416,1.7529,-0.10318,-0.86549,0.97039,-0.043726,5.2558,0.44948,2.0728,4.2733,1.8381,0.61896,5.3089,4.958,10
-0.78256,-0.4654,0.62429,0.7389,1.0708,-0.42608,0.13021,-0.092128,5.6284,0.77006,5.223,1.982,4.0495,5.263,5.591,5.4222,1
0.74668,-0.5331,0.44136,0.078296,-0.57888,0.92124,-0.80519,-0.61093,1.9997,5.9035,4.514,4.2734,5.3431,4.9123,2.681,3.6462,10
0.015843,0.43301,-0.70304,-1.4294,0.78828,0.39208,-0.92055,0.75175,6.046,1.011,0.44595,2.1122,1.8739,5.1767,6.223,4.0749,10
-1.1611,-1.4085,0.6477,-0.57129,0.51208,0.70746,-0.39754,-1.5275,1.3787,1.2879,5.9367,4.1672,1.8565,3.9101,6.0562,1.428,10
-0.92328,-0.6072,0.069263,-1.0214,0.59677,-0.56418,-0.5106,-0.70748,3.2921,2.4575,4.7048,2.1548,1.6852,5.5383,0.17948,5.1875,10
1.6947,-0.71455,-0.12984,-0.34455,-0.69593,-0.020694,-1.1597,-0.61534,1.0759,2.2951,5.9521,0.55561,5.1764,2.5734,5.8636,0.53738,10
-0.76528,-0.64558,-0.83032,0.5686,-0.80403,0.090625,0.0083187,0.42808,4.1493,6.0492,0.12811,4.7985,3.8238,1.0062,1.3767,0.52463,1
0.74141,1.4929,0.1042,0.46069,-0.24181,-0.26158,-0.23093,0.20126,1.7527,6.1203,6.2562,1.3965,4.8589,5.021,4.3105,5.3118,10
0.52551,-0.65197,-0.5945,0.14463,0.82009,-1.2872,-0.04001,-1.0913,2.5625,2.0821,4.695,1.6017,5.3121,1.7126,3.2468,3.5747,1
0.33852,-0.81086,-0.1896,-0.072612,-0.29781,-0.046875,0.30023,1.1868,1.5985,4.1173,4.4362,3.6044,3.8948,1.7828,1.1241,3.6511,10
0.2692,-0.24338,0.28575,0.12378,-0.036415,-1.246,-0.31099,-0.33574,2.6322,3.714,0.59624,1.4116,5.6878,4.3865,1.376,0.22613,10
